pos_weight,best_val_f1_mean,best_val_f1_std,best_val_f1_max,test_f1_mean,test_f1_std,test_recall,test_auc,true_pairs,pred_pairs
1,0.0,0.0,0.0,0.0,0.0,0.0,0.9483115238401947,51744,0
2,0.19259711697623114,0.012230598531743436,0.20654260418827336,0.177379808110416,0.015973264977378995,0.13137825557632296,0.9498422729881838,51744,16256
3,0.28403501447596624,0.005893052119274303,0.2914527756124238,0.26567437331613747,0.016948781385368886,0.2441308986327671,0.958867712574164,51744,37292
4,0.3056197634649466,0.0024488313182312376,0.30908213048822397,0.29264732284877876,0.00970155775460775,0.3317254878749061,0.9594699060318967,51744,61510
5,0.30804958839327123,0.004732086114622864,0.3140943366021452,0.2989276769738513,0.0058059259237873105,0.30351881728280455,0.959597944271122,51744,50666
6,0.30759637782590055,0.0005414878381397999,0.30813927692071486,0.30265052445151536,0.0012520501351338956,0.3809146188777054,0.9590555412977786,51744,77827
7,0.30961117876533323,0.002627936200356268,0.3123584606890112,0.30433907883593553,0.002716007118966112,0.33203632497863966,0.9606494048857837,51744,60610
8,0.3066107991703404,0.001049720243444439,0.30808392956366343,0.3016576084408778,0.0011345973568560733,0.3923662556581645,0.9601547921243336,51744,81993
9,0.3023924015175274,0.0037239240095053323,0.30729837839407503,0.2959876988711247,0.007532030497138462,0.3860397674124577,0.9607901763866143,51744,79695
10,0.3017679962867926,0.0024021125907499378,0.3040135164353659,0.29112970743246686,0.00847308726212033,0.398224767231991,0.9600228437109111,51744,85242
