problem_id,best_fitness,generation_found,avg_fitness_final,avg_diversity_final,total_time_seconds,population_size,generations,device,experiment_name
1.1,1.0,51,0.641931623931624,0.3101783723522844,178.93195414543152,300,100,odin,odin_pop_300_gen_100_mut_020
1.2,0.8589743589743589,59,0.5731153846153847,0.74220335591573,250.76118206977844,300,100,odin,odin_pop_300_gen_100_mut_020
2.1,0.9587155963302753,64,0.7849097859327216,0.17916019760056448,461.84500527381897,300,100,odin,odin_pop_300_gen_100_mut_020
2.2,0.7477064220183486,78,0.5271880733944954,0.7231090382825529,1010.6573915481567,300,100,odin,odin_pop_300_gen_100_mut_020
3.1,0.9692307692307692,74,0.7769538461538461,0.24068707658005387,467.3422222137451,300,100,odin,odin_pop_300_gen_100_mut_020
3.2,0.841025641025641,78,0.6197965811965812,0.7000826687248108,730.314370393753,300,100,odin,odin_pop_300_gen_100_mut_020
