pos_weight,best_val_f1,test_f1,test_recall,test_auc,true_pairs,pred_pairs
2,0.23301927985409948,0.22206146129606558,0.15300536409559545,0.9572513850674097,51744,19550
3,0.28162714192119265,0.2399234265946805,0.17094218864087654,0.9593208488412172,51744,21976
4,0.3070489529390183,0.29278026399606005,0.2602974961899508,0.9599008998093955,51744,40154
5,0.3074092466849496,0.3003635362171059,0.30411104734084693,0.959736148730477,51744,52964
6,0.31348692932863587,0.307680603067266,0.3563195569363594,0.9605452373020726,51744,67888
7,0.3111045325482743,0.29994706365089335,0.4281420295537421,0.9612448716311901,51744,95846
8,0.30849652268540617,0.3006468896427609,0.3519288145695334,0.9601746127933994,51744,69250
9,0.3081384082369816,0.30476433852014245,0.3952935284524628,0.9601077840783361,51744,82297
10,0.29795701743076536,0.27917881907761516,0.48921990226869677,0.9611791957836207,51744,129576
11,0.29915783729253065,0.2770245874534928,0.49141932623643836,0.9610239268205374,51744,131854
12,0.28986940437184205,0.27762069048009796,0.4794301611571597,0.960462432718311,51744,127162
13,0.2860229239747503,0.27710079894927336,0.48679724060872187,0.9600302179797587,51744,130043
14,0.28490486264637316,0.25728542323455955,0.5358212726143222,0.9610013315867791,51744,163930
15,0.28809439172787993,0.27379347948943844,0.492307001849612,0.9607612551006108,51744,134440
