pos_weight,best_val_f1,test_f1,test_recall,test_auc,true_pairs,pred_pairs
5,0.3181067469775303,0.3082306500930655,0.29045092844133863,0.960380196289837,51744,45516
6,0.3232195278357101,0.31802514984547636,0.34486905072676943,0.9605454320426144,51744,60250
7,0.31550415033334356,0.30893433297554856,0.3556901253632939,0.9607174322905975,51744,67195
8,0.31606310199048643,0.31133296548657674,0.40468292068092904,0.9609125431674244,51744,82679
9,0.3097705027697424,0.2962312604464906,0.456580966657985,0.9617616158565262,51744,107701
10,0.3161637644086342,0.30887362856114386,0.38614330782349493,0.960681692338586,51744,77428
11,0.30468041277274865,0.27391665839566304,0.5025840036897298,0.9614007528293882,51744,138603
12,0.30295735376729727,0.2992558843858321,0.4380778960970083,0.9611480239869913,51744,99663
