timestamp,experiment_name,device,run_number,total_runtime_minutes,problems_with_solutions,best_overall_fitness,total_solutions_found,problem_1.1_fitness,problem_1.2_fitness,problem_2.1_fitness,problem_2.2_fitness,problem_3.1_fitness,problem_3.2_fitness
2025-10-13_01-49-31,odin_1000_individuals,odin,1,1.46,1,0.782051282051282,0,0.782051282051282,0.0,0.0,0,0.0,0.0
2025-10-13_01-58-38,odin_1000_individuals,odin,1,1.47,1,0.7692307692307693,0,0.7692307692307693,0.0,0.0,0,0.0,0.0
2025-10-13_02-05-47,odin_1000_individuals,odin,1,1.41,1,0.7307692307692307,0,0.7307692307692307,0.0,0.0,0,0.0,0.0
2025-10-13_02-10-17,odin_1000_individuals,odin,1,1.45,1,0.7948717948717948,0,0.7948717948717948,0.0,0.0,0,0.0,0.0
2025-10-13_02-18-09,odin_1000_individuals,odin,1,0.71,1,0.7692307692307693,0,0.7692307692307693,0.0,0.0,0,0.0,0.0
2025-10-13_02-22-49,odin_1000_individuals,odin,1,0.7,1,0.7564102564102564,0,0.7564102564102564,0.0,0.0,0,0.0,0.0
2025-10-13_02-31-38,odin_1000_individuals,odin,1,0.71,1,0.7435897435897436,0,0.7435897435897436,0.0,0.0,0,0.0,0.0
2025-10-13_02-38-22,odin_1000_individuals,odin,1,0.72,1,0.7692307692307693,0,0.7692307692307693,0.0,0.0,0,0.0,0.0
2025-10-13_02-41-24,odin_1000_individuals,odin,1,0.73,1,0.7051282051282052,0,0.7051282051282052,0.0,0.0,0,0.0,0.0
2025-10-13_02-43-17,odin_1000_individuals,odin,1,0.73,1,0.8461538461538461,0,0.8461538461538461,0.0,0.0,0,0.0,0.0
2025-10-13_02-49-09,odin_1000_individuals,odin,1,0.32,1,0.7051282051282052,0,0.7051282051282052,0.0,0.0,0,0.0,0.0
2025-10-13_02-52-49,odin_1000_individuals,odin,1,0.34,1,0.717948717948718,0,0.717948717948718,0.0,0.0,0,0.0,0.0
2025-10-13_02-53-40,odin_1000_individuals,odin,1,0.35,1,0.717948717948718,0,0.717948717948718,0.0,0.0,0,0.0,0.0
2025-10-13_02-56-04,odin_1000_individuals,odin,1,0.32,1,0.717948717948718,0,0.717948717948718,0.0,0.0,0,0.0,0.0
2025-10-13_03-02-29,odin_1000_individuals,odin,1,0.34,1,0.6923076923076923,0,0.6923076923076923,0.0,0.0,0,0.0,0.0
2025-10-13_03-05-52,odin_1000_individuals,odin,1,0.31,1,0.7692307692307693,0,0.7692307692307693,0.0,0.0,0,0.0,0.0
2025-10-13_03-11-16,odin_1000_individuals,odin,1,0.35,1,0.6923076923076923,0,0.6923076923076923,0.0,0.0,0,0.0,0.0
2025-10-13_03-21-42,odin_1000_individuals,odin,1,0.31,1,0.7307692307692307,0,0.7307692307692307,0.0,0.0,0,0.0,0.0
