pos_weight,best_val_f1,test_f1,test_recall,test_auc,true_pairs,pred_pairs
2,0.23480791062509915,0.2258170058558858,0.15792865135038806,0.9562223578069309,51744,20624
3,0.2911489534106238,0.2835457962876716,0.24077705715361236,0.9565538925011502,51744,36034
4,0.30707898075764356,0.29844328679063675,0.29567433927982145,0.9576286105052281,51744,50716
5,0.3105602593878088,0.3040286386374775,0.3151189433565772,0.9575876228764629,51744,55374
6,0.30867065084590567,0.30381819721600173,0.34903465263562394,0.9574238333680037,51744,67093
7,0.30878323415854614,0.30587127397172575,0.3799912602344428,0.9591585875318861,51744,76633
8,0.3076894158576551,0.29747785494564705,0.4277998841568598,0.9501881311753607,51744,96998
9,0.30329323750874604,0.30023784293706723,0.39460389555642006,0.9603072201006737,51744,84216
10,0.3009788731511035,0.28653959517142047,0.45636259256314504,0.9604158107217504,51744,113133
11,0.2991655739061651,0.29622673140351097,0.3986619933852399,0.9592208398613978,51744,87481
12,0.28642385677336835,0.2858649441667362,0.4578131174619481,0.9610851392833147,51744,114028
13,0.2968692132821641,0.2793835955971957,0.4917828773138123,0.9603681775327244,51744,130453
14,0.2810316792411428,0.2723319931107253,0.5059449818867854,0.960998999808988,51744,140586
15,0.2894050180778303,0.2470588823946152,0.5595702508752518,0.9609625561332683,51744,183088
